更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://113.120.108.132:4000/rtp/239.21.1.120:5002$山东电信
CCTV1,http://116.237.61.115:4022/rtp/233.18.204.52:5140$上海市电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://182.135.34.97:888/rtp/239.94.0.1:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.34:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.0.31:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.69:5140$四川电信
CCTV1,http://121.238.250.95:8800/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://111.193.235.246:8888/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://106.116.240.74:9999/rtp/239.254.200.45:8008$河北省电信
CCTV2,http://113.120.108.132:4000/rtp/239.21.1.151:5002$山东电信
CCTV2,http://116.237.61.115:4022/rtp/233.18.204.68:5140$上海市电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://182.135.34.97:888/rtp/239.94.2.70:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.0.2:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.2.35:5140$四川电信
CCTV2,http://121.238.250.95:8800/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://111.193.235.246:8888/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://106.116.240.74:9999/rtp/239.254.200.158:6000$河北省电信
CCTV3,http://113.120.108.132:4000/rtp/239.21.2.45:5002$山东电信
CCTV3,http://116.237.61.115:4022/rtp/233.18.204.69:5140$上海市电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://182.135.34.97:888/rtp/239.94.0.32:5140$四川电信
CCTV3,http://182.135.34.97:888/rtp/239.94.0.3:5140$四川电信
CCTV3,http://121.238.250.95:8800/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://111.193.235.246:8888/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://106.116.240.74:9999/rtp/239.254.201.152:7205$河北省电信
CCTV4,http://113.120.108.132:4000/rtp/239.21.1.154:5002$山东电信
CCTV4,http://116.237.61.115:4022/rtp/233.18.204.70:5140$上海市电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://182.135.34.97:888/rtp/239.94.0.4:5140$四川电信
CCTV4,http://121.238.250.95:8800/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://111.193.235.246:8888/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://106.116.240.74:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4欧洲,http://113.120.108.132:4000/rtp/239.21.2.28:5002$山东电信
CCTV4欧洲,http://111.193.235.246:8888/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://106.116.240.74:9999/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://113.120.108.132:4000/rtp/239.21.2.29:5002$山东电信
CCTV4美洲,http://111.193.235.246:8888/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://106.116.240.74:9999/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://113.120.108.132:4000/rtp/239.21.2.46:5002$山东电信
CCTV5,http://116.237.61.115:4022/rtp/233.18.204.71:5140$上海市电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://182.135.34.97:888/rtp/239.94.0.33:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.2.30:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.0.5:5140$四川电信
CCTV5,http://121.238.250.95:8800/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://111.193.235.246:8888/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://106.116.240.74:9999/rtp/239.254.201.153:7206$河北省电信
CCTV5+,http://113.120.108.132:4000/rtp/239.21.1.142:5002$山东电信
CCTV5+,http://116.237.61.115:4022/rtp/233.18.204.67:5140$上海市电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.19:5140$四川电信
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.23:5140$四川电信
CCTV5+,http://121.238.250.95:8800/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://111.193.235.246:8888/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://106.116.240.74:9999/rtp/239.254.200.46:8004$河北省电信
CCTV6,http://113.120.108.132:4000/rtp/239.21.2.47:5002$山东电信
CCTV6,http://116.237.61.115:4022/rtp/233.18.204.72:5140$上海市电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://182.135.34.97:888/rtp/239.94.0.6:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.2.33:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.0.34:5140$四川电信
CCTV6,http://121.238.250.95:8800/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://111.193.235.246:8888/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://106.116.240.74:9999/rtp/239.254.201.154:7207$河北省电信
CCTV7,http://113.120.108.132:4000/rtp/239.21.1.152:5002$山东电信
CCTV7,http://116.237.61.115:4022/rtp/233.18.204.73:5140$上海市电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://182.135.34.97:888/rtp/239.94.0.7:5140$四川电信
CCTV7,http://121.238.250.95:8800/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://111.193.235.246:8888/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://106.116.240.74:9999/rtp/239.254.200.159:6000$河北省电信
CCTV8,http://113.120.108.132:4000/rtp/239.21.2.48:5002$山东电信
CCTV8,http://116.237.61.115:4022/rtp/233.18.204.74:5140$上海市电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://182.135.34.97:888/rtp/239.94.0.8:5140$四川电信
CCTV8,http://182.135.34.97:888/rtp/239.94.0.35:5140$四川电信
CCTV8,http://182.135.34.97:888/rtp/239.94.2.29:5140$四川电信
CCTV8,http://121.238.250.95:8800/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://111.193.235.246:8888/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://106.116.240.74:9999/rtp/239.254.201.155:7208$河北省电信
CCTV9,http://113.120.108.132:4000/rtp/239.21.1.153:5002$山东电信
CCTV9,http://116.237.61.115:4022/rtp/233.18.204.75:5140$上海市电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://182.135.34.97:888/rtp/239.94.2.32:5140$四川电信
CCTV9,http://182.135.34.97:888/rtp/239.94.0.9:5140$四川电信
CCTV9,http://121.238.250.95:8800/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://111.193.235.246:8888/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://106.116.240.74:9999/rtp/239.254.200.59:8112$河北省电信
CCTV10,http://113.120.108.132:4000/rtp/239.21.1.155:5002$山东电信
